"RECIPE","LAST RUN","RUN RESULT","NOTES"
"Boom2.munki.recipe","2015-10-05 10:36:41","OK",""
"Boom2.pkg.recipe","2015-10-05 10:36:47","OK",""
"Caffeine.install.recipe","2015-10-05 10:36:55","OK",""
"Caffeine.pkg.recipe","2015-10-05 10:36:55","OK",""
"CakeBrew.download.recipe","2015-10-05 10:36:58","OK",""
"CakeBrew.install.recipe","2015-10-05 10:37:05","OK",""
"CakeBrew.munki.recipe","2015-10-05 10:37:18","OK",""
"CakeBrew.pkg.recipe","2015-10-05 10:37:21","OK",""
"SofaControl.download.recipe","2015-10-05 10:37:21","OK",""
"SofaControl.install.recipe","2015-10-05 10:37:22","OK",""
"SofaControl.munki.recipe","2015-10-05 10:37:27","OK",""
"SofaControl.pkg.recipe","2015-10-05 10:37:31","OK",""
"Tags.download.recipe","2015-10-05 10:37:31","OK",""
"Tags.install.recipe","2015-10-05 10:37:32","OK",""
"Tags.munki.recipe","2015-10-05 10:37:36","OK",""
"Tags.pkg.recipe","2015-10-05 10:37:59","OK",""
"CCleaner.download.recipe","2015-10-05 10:38:02","OK",""
"CCleaner.install.recipe","2015-10-05 10:38:04","OK",""
"CCleaner.munki.recipe","2015-10-05 10:38:09","OK",""
"CCleaner.pkg.recipe","2015-10-05 10:38:15","OK",""
"cdto.download.recipe","2015-10-05 10:38:16","OK",""
"cdto.install.recipe","2015-10-05 10:38:19","OK",""
"cdto.munki.recipe","2015-10-05 10:38:32","OK",""
"cdto.pkg.recipe","2015-10-05 10:38:35","OK",""
"Celestia.download.recipe","2015-10-05 10:38:36","OK",""
"Celestia.install.recipe","2015-10-05 10:38:38","OK",""
"Celestia.munki.recipe","2015-10-05 10:38:43","OK",""
"Celestia.pkg.recipe","2015-10-05 10:38:51","OK",""
"CocoaTADS.download.recipe","2015-10-05 10:38:52","OK",""
"CocoaTADS.install.recipe","2015-10-05 10:38:58","OK",""
"CocoaTADS.munki.recipe","2015-10-05 10:39:09","OK",""
"CocoaTADS.pkg.recipe","2015-10-05 10:39:09","OK",""
"NibUnlocker.download.recipe","2015-10-05 10:39:10","OK",""
"NibUnlocker.install.recipe","2015-10-05 10:39:16","OK",""
